Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status,Response_Time_Min,Sentiment
CONV-0055,Software installation failure,Reinstall the printer drivers.,83 minutes,Software,Escalated,13,negative
CONV-0056,Printer not responding,Verify your email settings.,73 minutes,Performance,Escalated,33,neutral
CONV-0057,Printer not responding,Run a system diagnostic tool.,51 minutes,Hardware,Resolved,50,neutral
CONV-0058,Unable to access email,Clear cache and remove unnecessary programs.,14 minutes,Account,Resolved,5,neutral
CONV-0059,Blue screen error,Verify your email settings.,109 minutes,Network,Resolved after follow-up,11,negative
CONV-0060,Slow system performance,Clear cache and remove unnecessary programs.,29 minutes,Performance,Resolved after follow-up,38,neutral
CONV-0061,Forgot password,Follow the software installation guide.,33 minutes,Hardware,Pending,49,neutral
CONV-0062,Unable to access email,Follow the software installation guide.,56 minutes,Software,Resolved after follow-up,10,neutral
CONV-0063,Software installation failure,Verify your email settings.,7 minutes,Performance,Resolved after follow-up,32,negative
CONV-0064,Slow system performance,Clear cache and remove unnecessary programs.,105 minutes,Performance,Pending,40,neutral
CONV-0065,Slow system performance,Reset your password using the link provided.,56 minutes,Network,Resolved,28,neutral
CONV-0066,Cannot connect to Wi-Fi,Reset your password using the link provided.,90 minutes,Performance,Pending,23,neutral
CONV-0067,Printer not responding,Reset your password using the link provided.,21 minutes,Hardware,Pending,29,neutral
CONV-0068,Unable to access email,Run a system diagnostic tool.,66 minutes,Performance,Resolved after follow-up,39,neutral
CONV-0069,Blue screen error,Reinstall the printer drivers.,14 minutes,Account,Resolved after follow-up,11,negative
CONV-0070,Forgot password,Follow the software installation guide.,49 minutes,Software,Resolved after follow-up,11,neutral
CONV-0071,Blue screen error,Reinstall the printer drivers.,31 minutes,Software,Pending,10,negative
CONV-0072,Software installation failure,Follow the software installation guide.,79 minutes,Network,Pending,11,negative
CONV-0073,Unable to access email,Restart your router.,6 minutes,Network,Resolved after follow-up,27,neutral
CONV-0074,Printer not responding,Clear cache and remove unnecessary programs.,101 minutes,Account,Resolved after follow-up,8,neutral
CONV-0075,Unable to access email,Verify your email settings.,73 minutes,Network,Resolved,20,neutral
CONV-0076,Unable to access email,Follow the software installation guide.,68 minutes,Network,Resolved,9,neutral
CONV-0077,Software installation failure,Run a system diagnostic tool.,38 minutes,Account,Resolved,9,negative
CONV-0078,Printer not responding,Verify your email settings.,63 minutes,Account,Resolved,3,neutral
CONV-0079,Printer not responding,Clear cache and remove unnecessary programs.,103 minutes,Network,Resolved,22,neutral
CONV-0080,Slow system performance,Reset your password using the link provided.,55 minutes,Hardware,Resolved after follow-up,11,neutral
CONV-0081,Cannot connect to Wi-Fi,Follow the software installation guide.,36 minutes,Software,Escalated,2,neutral
CONV-0082,Unable to access email,Clear cache and remove unnecessary programs.,103 minutes,Account,Resolved,14,neutral
CONV-0083,Cannot connect to Wi-Fi,Reinstall the printer drivers.,26 minutes,Account,Escalated,14,neutral
CONV-0084,Blue screen error,Reinstall the printer drivers.,12 minutes,Account,Resolved after follow-up,4,negative
CONV-0085,Slow system performance,Follow the software installation guide.,118 minutes,Performance,Resolved after follow-up,18,neutral
CONV-0086,Software installation failure,Clear cache and remove unnecessary programs.,28 minutes,Account,Resolved,19,negative
CONV-0087,Blue screen error,Reinstall the printer drivers.,111 minutes,Hardware,Escalated,59,negative
CONV-0088,Slow system performance,Reset your password using the link provided.,40 minutes,Hardware,Resolved,26,neutral
CONV-0089,Cannot connect to Wi-Fi,Restart your router.,5 minutes,Network,Escalated,13,neutral
CONV-0090,Printer not responding,Follow the software installation guide.,19 minutes,Hardware,Resolved,56,neutral
CONV-0091,Printer not responding,Reset your password using the link provided.,103 minutes,Software,Escalated,3,neutral
CONV-0092,Printer not responding,Run a system diagnostic tool.,81 minutes,Performance,Resolved,30,neutral
CONV-0093,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,67 minutes,Network,Resolved after follow-up,18,neutral
CONV-0094,Blue screen error,Follow the software installation guide.,62 minutes,Account,Pending,16,negative
CONV-0095,Software installation failure,Follow the software installation guide.,71 minutes,Software,Pending,10,negative
CONV-0096,Cannot connect to Wi-Fi,Restart your router.,19 minutes,Network,Escalated,10,neutral
CONV-0097,Printer not responding,Reinstall the printer drivers.,93 minutes,Account,Escalated,13,neutral
CONV-0098,Printer not responding,Reinstall the printer drivers.,20 minutes,Hardware,Escalated,30,neutral
CONV-0099,Blue screen error,Reset your password using the link provided.,48 minutes,Hardware,Escalated,58,negative
CONV-0100,Slow system performance,Reinstall the printer drivers.,14 minutes,Performance,Pending,38,neutral
CONV-0101,Printer not responding,Follow the software installation guide.,20 minutes,Hardware,Pending,42,neutral
CONV-0102,Unable to access email,Clear cache and remove unnecessary programs.,52 minutes,Hardware,Resolved after follow-up,56,neutral
CONV-0103,Blue screen error,Reinstall the printer drivers.,84 minutes,Account,Resolved after follow-up,12,negative
CONV-0104,Slow system performance,Reinstall the printer drivers.,80 minutes,Performance,Escalated,17,neutral
CONV-0105,Software installation failure,Clear cache and remove unnecessary programs.,72 minutes,Account,Resolved after follow-up,3,negative
CONV-0106,Printer not responding,Verify your email settings.,39 minutes,Performance,Resolved,20,neutral
CONV-0107,Slow system performance,Follow the software installation guide.,16 minutes,Performance,Escalated,20,neutral
CONV-0108,Cannot connect to Wi-Fi,Verify your email settings.,57 minutes,Account,Pending,7,neutral
CONV-0109,Software installation failure,Reset your password using the link provided.,41 minutes,Performance,Escalated,24,negative
CONV-0110,Blue screen error,Follow the software installation guide.,23 minutes,Hardware,Resolved,54,negative
CONV-0111,Cannot connect to Wi-Fi,Run a system diagnostic tool.,110 minutes,Performance,Resolved,42,neutral
CONV-0112,Printer not responding,Run a system diagnostic tool.,110 minutes,Hardware,Resolved after follow-up,59,neutral
CONV-0113,Cannot connect to Wi-Fi,Verify your email settings.,38 minutes,Account,Resolved after follow-up,12,neutral
CONV-0114,Forgot password,Clear cache and remove unnecessary programs.,102 minutes,Network,Pending,23,neutral
CONV-0115,Slow system performance,Reinstall the printer drivers.,26 minutes,Performance,Resolved after follow-up,22,neutral
CONV-0116,Blue screen error,Clear cache and remove unnecessary programs.,78 minutes,Account,Escalated,7,negative
CONV-0117,Software installation failure,Clear cache and remove unnecessary programs.,69 minutes,Software,Escalated,12,negative
CONV-0118,Forgot password,Verify your email settings.,17 minutes,Network,Pending,13,neutral
CONV-0119,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,90 minutes,Account,Escalated,19,neutral
CONV-0120,Forgot password,Restart your router.,89 minutes,Performance,Pending,35,neutral
CONV-0121,Software installation failure,Clear cache and remove unnecessary programs.,28 minutes,Account,Resolved,13,negative
CONV-0122,Printer not responding,Reinstall the printer drivers.,14 minutes,Network,Resolved after follow-up,28,neutral
CONV-0123,Cannot connect to Wi-Fi,Reset your password using the link provided.,20 minutes,Software,Pending,3,neutral
CONV-0124,Cannot connect to Wi-Fi,Restart your router.,100 minutes,Account,Pending,12,neutral
CONV-0125,Unable to access email,Run a system diagnostic tool.,67 minutes,Account,Resolved after follow-up,5,neutral
CONV-0126,Printer not responding,Verify your email settings.,25 minutes,Software,Escalated,8,neutral
CONV-0127,Forgot password,Clear cache and remove unnecessary programs.,90 minutes,Account,Escalated,15,neutral
CONV-0128,Unable to access email,Run a system diagnostic tool.,61 minutes,Hardware,Pending,21,neutral
CONV-0129,Forgot password,Follow the software installation guide.,120 minutes,Network,Resolved,17,neutral
CONV-0130,Slow system performance,Run a system diagnostic tool.,56 minutes,Performance,Escalated,34,neutral
CONV-0131,Software installation failure,Verify your email settings.,119 minutes,Account,Resolved after follow-up,18,negative
CONV-0132,Forgot password,Run a system diagnostic tool.,56 minutes,Account,Escalated,16,neutral
CONV-0133,Printer not responding,Verify your email settings.,19 minutes,Network,Pending,19,neutral
CONV-0134,Software installation failure,Restart your router.,106 minutes,Performance,Pending,13,negative
CONV-0135,Software installation failure,Clear cache and remove unnecessary programs.,37 minutes,Network,Escalated,18,negative
CONV-0136,Blue screen error,Reset your password using the link provided.,57 minutes,Hardware,Escalated,57,negative
CONV-0137,Cannot connect to Wi-Fi,Restart your router.,60 minutes,Network,Resolved,10,neutral
CONV-0138,Printer not responding,Reset your password using the link provided.,70 minutes,Account,Resolved,19,neutral
CONV-0139,Cannot connect to Wi-Fi,Run a system diagnostic tool.,41 minutes,Hardware,Resolved,16,neutral
CONV-0140,Unable to access email,Follow the software installation guide.,87 minutes,Account,Pending,13,neutral
CONV-0141,Forgot password,Restart your router.,111 minutes,Software,Resolved after follow-up,5,neutral
CONV-0142,Software installation failure,Reinstall the printer drivers.,5 minutes,Software,Resolved,11,negative
CONV-0143,Cannot connect to Wi-Fi,Reinstall the printer drivers.,44 minutes,Hardware,Pending,10,neutral
CONV-0144,Blue screen error,Reset your password using the link provided.,120 minutes,Performance,Pending,36,negative
CONV-0145,Unable to access email,Clear cache and remove unnecessary programs.,85 minutes,Hardware,Resolved after follow-up,14,neutral
CONV-0146,Unable to access email,Verify your email settings.,22 minutes,Hardware,Escalated,20,neutral
CONV-0147,Software installation failure,Restart your router.,89 minutes,Network,Pending,10,negative
CONV-0148,Forgot password,Follow the software installation guide.,45 minutes,Account,Resolved,18,neutral
CONV-0149,Unable to access email,Follow the software installation guide.,108 minutes,Performance,Pending,32,neutral
CONV-0150,Printer not responding,Verify your email settings.,116 minutes,Software,Resolved after follow-up,14,neutral
CONV-0151,Unable to access email,Verify your email settings.,109 minutes,Software,Resolved after follow-up,2,neutral
CONV-0152,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,48 minutes,Performance,Resolved,21,neutral
CONV-0153,Printer not responding,Restart your router.,85 minutes,Software,Resolved after follow-up,4,neutral
CONV-0154,Cannot connect to Wi-Fi,Verify your email settings.,73 minutes,Performance,Resolved,32,neutral
CONV-0155,Forgot password,Follow the software installation guide.,21 minutes,Account,Pending,17,neutral
CONV-0156,Slow system performance,Reset your password using the link provided.,14 minutes,Performance,Escalated,11,neutral
CONV-0157,Printer not responding,Run a system diagnostic tool.,100 minutes,Network,Resolved,21,neutral
CONV-0158,Cannot connect to Wi-Fi,Reset your password using the link provided.,63 minutes,Hardware,Resolved,30,neutral
CONV-0159,Printer not responding,Clear cache and remove unnecessary programs.,94 minutes,Account,Resolved,17,neutral
CONV-0160,Blue screen error,Clear cache and remove unnecessary programs.,91 minutes,Account,Escalated,13,negative
CONV-0161,Software installation failure,Reinstall the printer drivers.,119 minutes,Account,Resolved after follow-up,12,negative
CONV-0162,Blue screen error,Clear cache and remove unnecessary programs.,68 minutes,Network,Escalated,14,negative
CONV-0163,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,98 minutes,Hardware,Escalated,44,neutral
CONV-0164,Forgot password,Clear cache and remove unnecessary programs.,30 minutes,Network,Resolved,20,neutral
CONV-0165,Forgot password,Verify your email settings.,77 minutes,Account,Pending,3,neutral
CONV-0166,Printer not responding,Reinstall the printer drivers.,15 minutes,Software,Escalated,6,neutral
CONV-0167,Slow system performance,Reset your password using the link provided.,80 minutes,Performance,Escalated,35,neutral
CONV-0168,Slow system performance,Clear cache and remove unnecessary programs.,98 minutes,Hardware,Resolved after follow-up,36,neutral
CONV-0169,Printer not responding,Reinstall the printer drivers.,91 minutes,Performance,Resolved after follow-up,44,neutral
CONV-0170,Software installation failure,Clear cache and remove unnecessary programs.,27 minutes,Account,Resolved,13,negative
CONV-0171,Printer not responding,Clear cache and remove unnecessary programs.,71 minutes,Hardware,Pending,30,neutral
CONV-0172,Forgot password,Clear cache and remove unnecessary programs.,88 minutes,Account,Resolved after follow-up,16,neutral
CONV-0173,Software installation failure,Reset your password using the link provided.,21 minutes,Software,Escalated,9,negative
CONV-0174,Blue screen error,Restart your router.,7 minutes,Software,Escalated,12,negative
CONV-0175,Cannot connect to Wi-Fi,Follow the software installation guide.,45 minutes,Hardware,Escalated,51,neutral
CONV-0176,Printer not responding,Follow the software installation guide.,33 minutes,Performance,Pending,21,neutral
CONV-0177,Slow system performance,Follow the software installation guide.,37 minutes,Account,Resolved,14,neutral
CONV-0178,Forgot password,Reinstall the printer drivers.,115 minutes,Software,Escalated,8,neutral
CONV-0179,Cannot connect to Wi-Fi,Reset your password using the link provided.,83 minutes,Hardware,Pending,49,neutral
CONV-0180,Printer not responding,Follow the software installation guide.,70 minutes,Performance,Pending,44,neutral
CONV-0181,Software installation failure,Verify your email settings.,83 minutes,Performance,Resolved,33,negative
CONV-0182,Slow system performance,Clear cache and remove unnecessary programs.,9 minutes,Performance,Resolved,21,neutral
CONV-0183,Printer not responding,Restart your router.,74 minutes,Hardware,Escalated,27,neutral
CONV-0184,Unable to access email,Reinstall the printer drivers.,83 minutes,Hardware,Resolved,34,neutral
CONV-0185,Slow system performance,Verify your email settings.,25 minutes,Hardware,Escalated,14,neutral
CONV-0186,Forgot password,Verify your email settings.,98 minutes,Account,Resolved,7,neutral
CONV-0187,Unable to access email,Clear cache and remove unnecessary programs.,7 minutes,Hardware,Resolved,46,neutral
CONV-0188,Unable to access email,Run a system diagnostic tool.,12 minutes,Performance,Resolved after follow-up,37,neutral
CONV-0189,Software installation failure,Run a system diagnostic tool.,96 minutes,Network,Resolved,11,negative
CONV-0190,Software installation failure,Reset your password using the link provided.,34 minutes,Hardware,Pending,27,negative
CONV-0191,Blue screen error,Reset your password using the link provided.,115 minutes,Hardware,Escalated,41,negative
CONV-0192,Printer not responding,Follow the software installation guide.,89 minutes,Network,Resolved after follow-up,15,neutral
CONV-0193,Forgot password,Run a system diagnostic tool.,83 minutes,Hardware,Escalated,24,neutral
CONV-0194,Cannot connect to Wi-Fi,Reset your password using the link provided.,15 minutes,Performance,Escalated,32,neutral
CONV-0195,Printer not responding,Clear cache and remove unnecessary programs.,74 minutes,Performance,Escalated,11,neutral
CONV-0196,Slow system performance,Run a system diagnostic tool.,45 minutes,Network,Resolved,13,neutral
CONV-0197,Printer not responding,Clear cache and remove unnecessary programs.,59 minutes,Software,Resolved,11,neutral
CONV-0198,Software installation failure,Reinstall the printer drivers.,108 minutes,Software,Resolved,9,negative
CONV-0199,Cannot connect to Wi-Fi,Clear cache and remove unnecessary programs.,13 minutes,Account,Resolved after follow-up,8,neutral
CONV-0200,Unable to access email,Verify your email settings.,39 minutes,Network,Pending,21,neutral
CONV-0201,Software installation failure,Reset your password using the link provided.,18 minutes,Account,Escalated,6,negative
CONV-0202,Cannot connect to Wi-Fi,Follow the software installation guide.,73 minutes,Performance,Resolved after follow-up,29,neutral
CONV-0203,Printer not responding,Follow the software installation guide.,67 minutes,Network,Resolved after follow-up,20,neutral
CONV-0204,Forgot password,Follow the software installation guide.,79 minutes,Account,Resolved after follow-up,2,neutral
CONV-0205,Cannot connect to Wi-Fi,Reset your password using the link provided.,13 minutes,Network,Escalated,19,neutral
CONV-0206,Blue screen error,Clear cache and remove unnecessary programs.,81 minutes,Hardware,Escalated,51,negative
CONV-0207,Blue screen error,Run a system diagnostic tool.,63 minutes,Hardware,Pending,52,negative
CONV-0208,Software installation failure,Reset your password using the link provided.,22 minutes,Hardware,Pending,31,negative
CONV-0209,Cannot connect to Wi-Fi,Run a system diagnostic tool.,82 minutes,Software,Pending,13,neutral
CONV-0210,Blue screen error,Verify your email settings.,5 minutes,Software,Resolved after follow-up,14,negative
CONV-0211,Cannot connect to Wi-Fi,Follow the software installation guide.,108 minutes,Hardware,Escalated,51,neutral
CONV-0212,Blue screen error,Run a system diagnostic tool.,82 minutes,Software,Escalated,7,negative
CONV-0213,Printer not responding,Clear cache and remove unnecessary programs.,102 minutes,Hardware,Escalated,50,neutral
CONV-0214,Cannot connect to Wi-Fi,Reset your password using the link provided.,16 minutes,Hardware,Escalated,13,neutral
CONV-0215,Printer not responding,Follow the software installation guide.,37 minutes,Network,Pending,18,neutral
CONV-0216,Printer not responding,Restart your router.,6 minutes,Performance,Resolved after follow-up,23,neutral
CONV-0217,Slow system performance,Follow the software installation guide.,118 minutes,Network,Pending,25,neutral
CONV-0218,Software installation failure,Run a system diagnostic tool.,75 minutes,Account,Escalated,10,negative
CONV-0219,Software installation failure,Verify your email settings.,48 minutes,Account,Escalated,5,negative
CONV-0220,Slow system performance,Restart your router.,35 minutes,Software,Resolved after follow-up,8,neutral
CONV-0221,Blue screen error,Verify your email settings.,48 minutes,Software,Pending,13,negative
CONV-0222,Blue screen error,Reset your password using the link provided.,95 minutes,Account,Resolved after follow-up,18,negative
CONV-0223,Forgot password,Restart your router.,94 minutes,Performance,Resolved,18,neutral
CONV-0224,Cannot connect to Wi-Fi,Reset your password using the link provided.,46 minutes,Software,Pending,12,neutral
CONV-0225,Software installation failure,Reinstall the printer drivers.,45 minutes,Account,Pending,15,negative
CONV-0226,Printer not responding,Reinstall the printer drivers.,97 minutes,Hardware,Pending,56,neutral
CONV-0227,Blue screen error,Reinstall the printer drivers.,34 minutes,Performance,Pending,30,negative
CONV-0228,Software installation failure,Reinstall the printer drivers.,38 minutes,Account,Resolved after follow-up,3,negative
CONV-0229,Unable to access email,Clear cache and remove unnecessary programs.,11 minutes,Hardware,Resolved after follow-up,24,neutral
CONV-0230,Forgot password,Verify your email settings.,16 minutes,Software,Escalated,10,neutral
CONV-0231,Slow system performance,Run a system diagnostic tool.,39 minutes,Hardware,Resolved,21,neutral
CONV-0232,Software installation failure,Clear cache and remove unnecessary programs.,92 minutes,Hardware,Resolved after follow-up,11,negative
CONV-0233,Printer not responding,Follow the software installation guide.,9 minutes,Software,Resolved after follow-up,8,neutral
CONV-0234,Software installation failure,Run a system diagnostic tool.,102 minutes,Hardware,Resolved after follow-up,26,negative
CONV-0235,Cannot connect to Wi-Fi,Verify your email settings.,60 minutes,Account,Pending,11,neutral
CONV-0236,Software installation failure,Restart your router.,70 minutes,Software,Resolved,2,negative
CONV-0237,Software installation failure,Verify your email settings.,30 minutes,Network,Resolved,24,negative
CONV-0238,Unable to access email,Verify your email settings.,6 minutes,Account,Resolved,3,neutral
CONV-0239,Forgot password,Run a system diagnostic tool.,22 minutes,Performance,Resolved,22,neutral
CONV-0240,Software installation failure,Clear cache and remove unnecessary programs.,45 minutes,Performance,Pending,32,negative
CONV-0241,Forgot password,Restart your router.,92 minutes,Hardware,Escalated,54,neutral
CONV-0242,Unable to access email,Reset your password using the link provided.,25 minutes,Network,Resolved,28,neutral
CONV-0243,Slow system performance,Clear cache and remove unnecessary programs.,27 minutes,Network,Resolved,9,neutral
CONV-0244,Cannot connect to Wi-Fi,Reinstall the printer drivers.,86 minutes,Hardware,Pending,38,neutral
CONV-0245,Blue screen error,Follow the software installation guide.,99 minutes,Hardware,Resolved after follow-up,45,negative
CONV-0246,Cannot connect to Wi-Fi,Run a system diagnostic tool.,19 minutes,Account,Pending,15,neutral
CONV-0247,Printer not responding,Follow the software installation guide.,18 minutes,Software,Escalated,2,neutral
CONV-0248,Blue screen error,Clear cache and remove unnecessary programs.,78 minutes,Software,Resolved,4,negative
CONV-0249,Software installation failure,Restart your router.,97 minutes,Account,Resolved,8,negative
CONV-0250,Software installation failure,Restart your router.,64 minutes,Account,Pending,6,negative
CONV-0251,Slow system performance,Clear cache and remove unnecessary programs.,45 minutes,Software,Resolved after follow-up,13,neutral
CONV-0252,Blue screen error,Reset your password using the link provided.,18 minutes,Performance,Resolved,13,negative
CONV-0253,Unable to access email,Reinstall the printer drivers.,37 minutes,Hardware,Escalated,51,neutral
CONV-0254,Cannot connect to Wi-Fi,Follow the software installation guide.,54 minutes,Performance,Escalated,19,neutral
CONV-0255,Cannot connect to Wi-Fi,Follow the software installation guide.,120 minutes,Performance,Resolved,23,neutral
CONV-0256,Slow system performance,Restart your router.,102 minutes,Software,Escalated,14,neutral
CONV-0257,Software installation failure,Reset your password using the link provided.,21 minutes,Network,Resolved,17,negative
CONV-0258,Slow system performance,Restart your router.,70 minutes,Software,Resolved after follow-up,14,neutral
CONV-0259,Forgot password,Restart your router.,21 minutes,Account,Pending,18,neutral
CONV-0260,Cannot connect to Wi-Fi,Follow the software installation guide.,38 minutes,Performance,Escalated,16,neutral
CONV-0261,Unable to access email,Follow the software installation guide.,85 minutes,Performance,Pending,13,neutral
CONV-0262,Printer not responding,Run a system diagnostic tool.,14 minutes,Account,Resolved after follow-up,3,neutral
CONV-0263,Forgot password,Reset your password using the link provided.,55 minutes,Hardware,Pending,52,neutral
CONV-0264,Printer not responding,Reinstall the printer drivers.,46 minutes,Performance,Resolved,35,neutral
CONV-0265,Printer not responding,Verify your email settings.,115 minutes,Network,Pending,23,neutral
CONV-0266,Printer not responding,Follow the software installation guide.,53 minutes,Network,Resolved,15,neutral
CONV-0267,Printer not responding,Restart your router.,84 minutes,Account,Resolved,14,neutral
CONV-0268,Software installation failure,Run a system diagnostic tool.,14 minutes,Performance,Resolved,37,negative
CONV-0269,Cannot connect to Wi-Fi,Follow the software installation guide.,40 minutes,Performance,Escalated,17,neutral
CONV-0270,Slow system performance,Run a system diagnostic tool.,18 minutes,Performance,Pending,18,neutral
CONV-0271,Unable to access email,Run a system diagnostic tool.,119 minutes,Hardware,Pending,53,neutral
CONV-0272,Forgot password,Verify your email settings.,114 minutes,Network,Pending,21,neutral
CONV-0273,Cannot connect to Wi-Fi,Follow the software installation guide.,106 minutes,Hardware,Resolved after follow-up,15,neutral
CONV-0274,Cannot connect to Wi-Fi,Restart your router.,117 minutes,Performance,Escalated,12,neutral
CONV-0275,Blue screen error,Follow the software installation guide.,93 minutes,Network,Escalated,21,negative
CONV-0276,Cannot connect to Wi-Fi,Follow the software installation guide.,39 minutes,Performance,Resolved after follow-up,31,neutral
CONV-0277,Software installation failure,Clear cache and remove unnecessary programs.,7 minutes,Performance,Escalated,17,negative
CONV-0278,Forgot password,Restart your router.,19 minutes,Performance,Resolved,19,neutral
CONV-0279,Slow system performance,Reset your password using the link provided.,62 minutes,Performance,Resolved after follow-up,36,neutral
CONV-0280,Software installation failure,Verify your email settings.,12 minutes,Hardware,Escalated,40,negative
CONV-0281,Unable to access email,Restart your router.,29 minutes,Account,Escalated,16,neutral
CONV-0282,Slow system performance,Run a system diagnostic tool.,27 minutes,Performance,Resolved,34,neutral
CONV-0283,Slow system performance,Restart your router.,44 minutes,Software,Resolved after follow-up,9,neutral
CONV-0284,Slow system performance,Run a system diagnostic tool.,81 minutes,Network,Pending,17,neutral
CONV-0285,Software installation failure,Run a system diagnostic tool.,52 minutes,Performance,Resolved,14,negative
CONV-0286,Slow system performance,Verify your email settings.,98 minutes,Performance,Escalated,12,neutral
